code,market,issue,issue_short,industry,unit,info,topix100,tracking
3086-T,東証1部,J.フロント リテイリング,Ｊフロント,小売業,100,貸借銘柄,,
3087-T,東証1部,ドトール・日レスホールディングス,ドトル日レス,小売業,100,貸借銘柄,,
3088-T,東証1部,マツモトキヨシホールディングス,マツモトキヨシ,小売業,100,貸借銘柄,,
3091-T,東証1部,ブロンコビリー,ブロンコＢ,小売業,100,制度信用銘柄,,
3092-T,東証1部,スタートトゥデイ,スタートトゥ,小売業,100,貸借銘柄,,
3093-T,東証1部,トレジャー・ファクトリー,トレファク,小売業,100,制度信用銘柄,,
3097-T,東証1部,物語コーポレーション,物語コーポ,小売業,100,貸借銘柄,,
3098-T,東証1部,ココカラファイン,ココカラファイン,小売業,100,貸借銘柄,,
3099-T,東証1部,三越伊勢丹ホールディングス,ミツコシイセタン,小売業,100,貸借銘柄,,
3101-T,東証1部,東洋紡,東洋紡,繊維製品,1000,貸借銘柄,,
3103-T,東証1部,ユニチカ,ユニチカ,繊維製品,1000,貸借銘柄,,
3104-T,東証1部,富士紡ホールディングス,富士紡ＨＤ,繊維製品,1000,貸借銘柄,,
3105-T,東証1部,日清紡ホールディングス,日清紡ＨＤ,繊維製品,1000,貸借銘柄,,
3106-T,東証1部,倉敷紡績,クラボウ,繊維製品,1000,貸借銘柄,,
3107-T,東証1部,ダイワボウホールディングス,ダイワボＨＤ,卸売業,1000,貸借銘柄,,
3109-T,東証1部,シキボウ,シキボウ,繊維製品,1000,貸借銘柄,,
3110-T,東証1部,日東紡績,日東紡,ガラス土石製品,1000,貸借銘柄,,
3116-T,東証1部,トヨタ紡織,トヨタ紡織,輸送用機器,100,貸借銘柄,,
3132-T,東証1部,マクニカ・富士エレホールディングス,マクニカ富士エレＨＤ,卸売業,100,貸借銘柄,,
3141-T,東証1部,ウエルシアホールディングス,ウエルシアＨＤ,小売業,100,貸借銘柄,,
3148-T,東証1部,クリエイトSDホールディングス,クリエイトＳＤＨ,小売業,100,貸借銘柄,,
3151-T,東証1部,バイタルケーエスケー・ホールディングス,バイタルＫＳＫ,卸売業,100,貸借銘柄,,
3153-T,東証1部,八洲電機,八洲電機,卸売業,100,制度信用銘柄,,
3156-T,東証1部,UKCホールディングス,ＵＫＣＨＤ,卸売業,100,貸借銘柄,,
3159-T,東証1部,丸善CHIホールディングス,丸善ＣＨＩ,小売業,100,貸借銘柄,,
3166-T,東証1部,OCHIホールディングス,ＯＣＨＩ・ＨＤ,卸売業,100,制度信用銘柄,,
3167-T,東証1部,TOKAIホールディングス,ＴＯＫＡＩ　ＨＤ,卸売業,100,貸借銘柄,,
3169-T,東証1部,ミサワ,ミサワ,小売業,100,制度信用銘柄,,
3175-T,東証1部,エー・ピーカンパニー,ＡＰカンパニー,小売業,100,制度信用銘柄,,
